1677343758.476694 client started (55706): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1677343758.476764 on Darwin 22.3.0 Darwin Kernel Version 22.3.0: Mon Jan 30 20:39:46 PST 2023; root:xnu-8792.81.3~2/RELEASE_ARM64_T6020
1677343758.476802 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1677343758.480424 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480429 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480433 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480437 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480442 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480447 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480451 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480456 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480460 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480464 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480469 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480473 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480477 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480481 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480485 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480490 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480494 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480498 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480502 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480506 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480511 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480515 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480519 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480523 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480527 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480531 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480536 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480540 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.480544 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480549 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480553 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480557 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480561 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480566 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480570 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.480574 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480578 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480583 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480587 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480591 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480595 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480600 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480604 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480608 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480612 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480617 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480621 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480631 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480635 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480639 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480644 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480648 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480652 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480656 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480660 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480665 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.480669 sending message 112 to peer 0x120008000 (6 bytes)
1677343758.480673 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480677 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480682 sending message 112 to peer 0x120008000 (15 bytes)
1677343758.480687 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480693 sending message 112 to peer 0x120008000 (70 bytes)
1677343758.480699 sending message 112 to peer 0x120008000 (69 bytes)
1677343758.480705 sending message 112 to peer 0x120008000 (34 bytes)
1677343758.480710 sending message 112 to peer 0x120008000 (34 bytes)
1677343758.480717 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480723 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480731 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480741 sending message 112 to peer 0x120008000 (15 bytes)
1677343758.480746 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480751 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480756 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480762 sending message 112 to peer 0x120008000 (17 bytes)
